,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR
0,1,29,53.121 Gbps,53.121 Gbps,4.127138e+11,0.00000e+00,2.38796e-12,0.00000
1,2,56,53.109 Gbps,53.121 Gbps,1.866488e+12,0.00000e+00,5.31711e-13,0.00000
2,3,73,53.109 Gbps,53.109 Gbps,2.765561e+12,0.00000e+00,3.59938e-13,23.34290
3,4,87,53.121 Gbps,53.109 Gbps,3.495733e+12,0.00000e+00,2.84966e-13,22.26242
4,5,100,53.109 Gbps,53.109 Gbps,4.226769e+12,0.00000e+00,2.35704e-13,22.95502
5,6,114,53.121 Gbps,53.109 Gbps,4.932428e+12,0.00000e+00,2.02358e-13,23.80066
6,7,128,53.121 Gbps,53.109 Gbps,5.668299e+12,0.00000e+00,1.76006e-13,24.43049
7,8,141,53.109 Gbps,53.109 Gbps,6.386312e+12,0.00000e+00,1.56212e-13,21.82468
8,9,155,53.109 Gbps,53.109 Gbps,7.136624e+12,0.00000e+00,1.39847e-13,22.70207
9,10,169,53.109 Gbps,53.121 Gbps,7.864514e+12,0.00000e+00,1.26931e-13,22.49298
10,11,183,53.109 Gbps,53.121 Gbps,8.624319e+12,0.00000e+00,1.15727e-13,23.14309
11,12,198,53.121 Gbps,53.121 Gbps,9.400996e+12,0.00000e+00,1.06149e-13,23.18633
12,13,212,53.109 Gbps,53.109 Gbps,1.016874e+13,0.00000e+00,9.82034e-14,23.66198
13,14,227,53.109 Gbps,53.121 Gbps,1.097921e+13,0.00000e+00,9.08929e-14,23.18841
14,15,243,53.109 Gbps,53.121 Gbps,1.177938e+13,0.00000e+00,8.47950e-14,22.84293
15,16,257,53.121 Gbps,53.109 Gbps,1.254924e+13,0.00000e+00,7.95968e-14,22.72840
16,17,272,53.121 Gbps,53.109 Gbps,1.331836e+13,0.00000e+00,7.50131e-14,22.33403
17,18,287,53.121 Gbps,53.121 Gbps,1.411324e+13,0.00000e+00,7.07857e-14,23.64885
18,19,301,53.121 Gbps,53.121 Gbps,1.485460e+13,0.00000e+00,6.72575e-14,23.15917
19,20,315,53.121 Gbps,53.121 Gbps,1.564689e+13,0.00000e+00,6.38531e-14,23.41713
20,21,330,53.109 Gbps,53.121 Gbps,1.643118e+13,0.00000e+00,6.08145e-14,23.68883
21,22,345,53.109 Gbps,53.109 Gbps,1.719673e+13,0.00000e+00,5.81062e-14,23.67164
22,23,359,53.109 Gbps,53.109 Gbps,1.797129e+13,0.00000e+00,5.55941e-14,23.31029
23,24,374,53.109 Gbps,53.109 Gbps,1.877963e+13,0.00000e+00,5.32042e-14,22.78733
24,25,389,53.109 Gbps,53.121 Gbps,1.954306e+13,0.00000e+00,5.11282e-14,23.00346
25,26,403,53.109 Gbps,53.109 Gbps,2.031638e+13,0.00000e+00,4.91795e-14,22.73271
26,27,418,53.109 Gbps,53.109 Gbps,2.108263e+13,0.00000e+00,4.74061e-14,23.46185
27,28,432,53.109 Gbps,53.109 Gbps,2.186059e+13,0.00000e+00,4.57165e-14,22.35978
28,29,447,53.109 Gbps,53.109 Gbps,2.265742e+13,0.00000e+00,4.41071e-14,23.10376
29,30,463,53.109 Gbps,53.109 Gbps,2.346168e+13,0.00000e+00,4.25991e-14,23.66136
30,31,478,53.109 Gbps,53.109 Gbps,2.428167e+13,0.00000e+00,4.11626e-14,23.88956
31,32,493,53.121 Gbps,53.109 Gbps,2.509502e+13,0.00000e+00,3.98237e-14,21.73256
32,33,509,53.109 Gbps,53.109 Gbps,2.590317e+13,0.00000e+00,3.85876e-14,23.41330
33,34,524,53.109 Gbps,53.121 Gbps,2.672870e+13,0.00000e+00,3.73953e-14,23.59288
34,35,539,53.121 Gbps,53.109 Gbps,2.753379e+13,0.00000e+00,3.63004e-14,24.15952
35,36,554,53.109 Gbps,53.109 Gbps,2.833355e+13,0.00000e+00,3.52757e-14,23.20952
36,37,569,53.121 Gbps,53.109 Gbps,2.913433e+13,0.00000e+00,3.43074e-14,23.34318
37,38,584,53.121 Gbps,53.109 Gbps,2.993150e+13,0.00000e+00,3.33934e-14,22.78809
38,39,600,53.109 Gbps,53.109 Gbps,3.076570e+13,0.00000e+00,3.24853e-14,22.75922
39,40,615,53.109 Gbps,53.121 Gbps,3.156035e+13,0.00000e+00,3.16721e-14,23.39986
40,41,630,53.121 Gbps,53.109 Gbps,3.234989e+13,0.00000e+00,3.08980e-14,23.11692
41,42,645,53.109 Gbps,53.121 Gbps,3.316430e+13,0.00000e+00,3.01342e-14,23.50462
42,43,661,53.109 Gbps,53.109 Gbps,3.398900e+13,0.00000e+00,2.94086e-14,22.79798
43,44,676,53.109 Gbps,53.109 Gbps,3.481128e+13,0.00000e+00,2.87141e-14,22.45351
44,45,692,53.109 Gbps,53.121 Gbps,3.563811e+13,0.00000e+00,2.80472e-14,22.83323
45,46,707,53.109 Gbps,53.109 Gbps,3.646691e+13,0.00000e+00,2.74120e-14,23.89076
46,47,723,53.121 Gbps,53.109 Gbps,3.729944e+13,0.00000e+00,2.68015e-14,22.31488
