,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR
0,1,24,53.121 Gbps,53.109 Gbps,6.803213e+11,6.15860e+04,9.00496e-08,0.00000
1,2,34,53.109 Gbps,53.109 Gbps,1.222756e+12,1.05435e+05,8.58934e-08,0.00000
2,3,64,53.109 Gbps,53.121 Gbps,2.844171e+12,2.37102e+05,8.31399e-08,0.00000
3,4,78,53.109 Gbps,53.109 Gbps,3.555588e+12,2.95187e+05,8.28282e-08,0.00000
4,5,92,53.109 Gbps,53.109 Gbps,4.302705e+12,3.56210e+05,8.26276e-08,0.00000
5,6,106,53.109 Gbps,53.109 Gbps,5.025622e+12,4.15595e+05,8.24869e-08,0.00000
6,7,119,53.121 Gbps,53.121 Gbps,5.740175e+12,4.73942e+05,8.24597e-08,0.00000
7,8,133,53.121 Gbps,53.109 Gbps,6.479207e+12,5.34178e+05,8.23472e-08,0.00000
8,9,147,53.109 Gbps,53.109 Gbps,7.214231e+12,5.94190e+05,8.22787e-08,0.00000
9,10,161,53.109 Gbps,53.109 Gbps,7.947702e+12,6.54254e+05,8.22398e-08,0.00000
10,11,174,53.121 Gbps,53.109 Gbps,8.676868e+12,7.13277e+05,8.21418e-08,0.00000
11,12,189,53.121 Gbps,53.121 Gbps,9.473387e+12,7.78125e+05,8.20876e-08,0.00000
12,13,204,53.109 Gbps,53.109 Gbps,1.022775e+13,8.39340e+05,8.20001e-08,0.00000
13,14,218,53.121 Gbps,53.109 Gbps,1.101671e+13,9.02513e+05,8.18881e-08,0.00000
14,15,234,53.109 Gbps,53.109 Gbps,1.184325e+13,9.68733e+05,8.17457e-08,0.00000
15,16,248,53.109 Gbps,53.109 Gbps,1.259699e+13,1.03071e+06,8.17314e-08,0.00000
16,17,263,53.121 Gbps,53.109 Gbps,1.338941e+13,1.09410e+06,8.16807e-08,0.00000
17,18,278,53.121 Gbps,53.109 Gbps,1.417212e+13,1.15859e+06,8.17161e-08,0.00000
18,19,292,53.121 Gbps,53.109 Gbps,1.494635e+13,1.22205e+06,8.17199e-08,0.00000
19,20,306,53.121 Gbps,53.109 Gbps,1.569370e+13,1.28335e+06,8.17071e-08,0.00000
20,21,322,53.109 Gbps,53.109 Gbps,1.649925e+13,1.34917e+06,8.17389e-08,0.00000
21,22,336,53.109 Gbps,53.109 Gbps,1.726487e+13,1.41212e+06,8.17624e-08,0.00000
22,23,350,53.121 Gbps,53.121 Gbps,1.804152e+13,1.47502e+06,8.17352e-08,0.00000
23,24,365,53.109 Gbps,53.109 Gbps,1.883299e+13,1.53935e+06,8.17024e-08,0.00000
24,25,380,53.109 Gbps,53.109 Gbps,1.961320e+13,1.60300e+06,8.16979e-08,0.00000
25,26,395,53.109 Gbps,53.109 Gbps,2.040129e+13,1.66747e+06,8.17002e-08,0.00000
26,27,409,53.109 Gbps,53.121 Gbps,2.116660e+13,1.72982e+06,8.16949e-08,0.00000
27,28,424,53.121 Gbps,53.121 Gbps,2.193516e+13,1.79341e+06,8.17296e-08,0.00000
28,29,439,53.109 Gbps,53.109 Gbps,2.271916e+13,1.85801e+06,8.17528e-08,0.00000
29,30,454,53.121 Gbps,53.121 Gbps,2.353468e+13,1.92444e+06,8.17464e-08,0.00000
30,31,469,53.109 Gbps,53.109 Gbps,2.434333e+13,1.99097e+06,8.17635e-08,0.00000
