,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR
0,1,23,53.109 Gbps,53.109 Gbps,7.236923e+11,1.45812e+05,2.00605e-07,0.00000
1,2,31,53.121 Gbps,53.121 Gbps,1.151209e+12,2.25407e+05,1.95432e-07,0.00000
2,3,63,53.121 Gbps,53.109 Gbps,2.844400e+12,5.40994e+05,1.89727e-07,0.00000
3,4,76,53.109 Gbps,53.109 Gbps,3.551660e+12,6.71324e+05,1.88562e-07,0.00000
4,5,90,53.109 Gbps,53.109 Gbps,4.300832e+12,8.08494e+05,1.87653e-07,0.00000
5,6,104,53.109 Gbps,53.121 Gbps,5.032782e+12,9.43599e+05,1.86996e-07,0.00000
6,7,117,53.109 Gbps,53.109 Gbps,5.741350e+12,1.07033e+06,1.86208e-07,0.00000
7,8,131,53.109 Gbps,53.109 Gbps,6.482664e+12,1.20554e+06,1.85757e-07,0.00000
8,9,145,53.109 Gbps,53.109 Gbps,7.212348e+12,1.33854e+06,1.85374e-07,0.00000
9,10,159,53.109 Gbps,53.109 Gbps,7.954264e+12,1.47284e+06,1.85006e-07,0.00000
10,11,173,53.109 Gbps,53.109 Gbps,8.681680e+12,1.60679e+06,1.84945e-07,0.00000
11,12,188,53.109 Gbps,53.109 Gbps,9.479686e+12,1.75458e+06,1.84952e-07,0.00000
12,13,202,53.109 Gbps,53.121 Gbps,1.022813e+13,1.88955e+06,1.84623e-07,0.00000
13,14,217,53.121 Gbps,53.121 Gbps,1.101651e+13,2.03132e+06,1.84247e-07,0.00000
14,15,232,53.109 Gbps,53.109 Gbps,1.184547e+13,2.17978e+06,1.83894e-07,0.00000
15,16,247,53.121 Gbps,53.109 Gbps,1.260134e+13,2.31593e+06,1.83686e-07,0.00000
16,17,261,53.109 Gbps,53.121 Gbps,1.338842e+13,2.46077e+06,1.83648e-07,0.00000
17,18,276,53.109 Gbps,53.109 Gbps,1.416663e+13,2.60450e+06,1.83762e-07,0.00000
18,19,291,53.109 Gbps,53.109 Gbps,1.495084e+13,2.74742e+06,1.83682e-07,0.00000
19,20,305,53.109 Gbps,53.109 Gbps,1.569805e+13,2.88724e+06,1.83776e-07,0.00000
20,21,320,53.109 Gbps,53.109 Gbps,1.650787e+13,3.03503e+06,1.83789e-07,0.00000
21,22,334,53.109 Gbps,53.109 Gbps,1.727007e+13,3.17493e+06,1.83767e-07,0.00000
22,23,349,53.109 Gbps,53.109 Gbps,1.804726e+13,3.31571e+06,1.83671e-07,0.00000
23,24,364,53.109 Gbps,53.121 Gbps,1.883148e+13,3.45806e+06,1.83514e-07,0.00000
24,25,379,53.121 Gbps,53.109 Gbps,1.961850e+13,3.60089e+06,1.83476e-07,0.00000
25,26,393,53.109 Gbps,53.109 Gbps,2.039790e+13,3.74375e+06,1.83495e-07,0.00000
26,27,408,53.121 Gbps,53.109 Gbps,2.116807e+13,3.88781e+06,1.83561e-07,0.00000
27,28,422,53.109 Gbps,53.109 Gbps,2.193339e+13,4.02739e+06,1.83546e-07,0.00000
28,29,437,53.109 Gbps,53.121 Gbps,2.272899e+13,4.17470e+06,1.83624e-07,0.00000
29,30,453,53.109 Gbps,53.109 Gbps,2.354117e+13,4.32778e+06,1.83789e-07,0.00000
30,31,468,53.121 Gbps,53.109 Gbps,2.434331e+13,4.47905e+06,1.83951e-07,0.00000
31,32,483,53.109 Gbps,53.109 Gbps,2.516101e+13,4.63411e+06,1.84121e-07,0.00000
32,33,498,53.109 Gbps,53.109 Gbps,2.597863e+13,4.78911e+06,1.84310e-07,0.00000
33,34,514,53.109 Gbps,53.109 Gbps,2.679117e+13,4.94384e+06,1.84473e-07,0.00000
34,35,529,53.121 Gbps,53.121 Gbps,2.759969e+13,5.09652e+06,1.84622e-07,0.00000
35,36,544,53.109 Gbps,53.109 Gbps,2.840871e+13,5.25247e+06,1.84836e-07,0.00000
36,37,559,53.109 Gbps,53.109 Gbps,2.920793e+13,5.40471e+06,1.84991e-07,0.00000
37,38,574,53.121 Gbps,53.109 Gbps,3.001395e+13,5.55815e+06,1.85145e-07,0.00000
38,39,590,53.109 Gbps,53.121 Gbps,3.084559e+13,5.71721e+06,1.85311e-07,0.00000
39,40,605,53.121 Gbps,53.109 Gbps,3.165193e+13,5.86855e+06,1.85364e-07,0.00000
