,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR
0,1,29,53.121 Gbps,53.109 Gbps,3.826148e+11,0.00000e+00,2.57064e-12,0.00000
1,2,58,53.109 Gbps,53.121 Gbps,1.928767e+12,0.00000e+00,5.14299e-13,0.00000
2,3,74,53.109 Gbps,53.109 Gbps,2.755940e+12,0.00000e+00,3.60827e-13,22.91757
3,4,88,53.121 Gbps,53.109 Gbps,3.487447e+12,0.00000e+00,2.85587e-13,23.12752
4,5,101,53.109 Gbps,53.121 Gbps,4.221105e+12,0.00000e+00,2.36097e-13,22.25212
5,6,114,53.109 Gbps,53.109 Gbps,4.916876e+12,0.00000e+00,2.02879e-13,22.88618
6,7,128,53.109 Gbps,53.109 Gbps,5.654913e+12,0.00000e+00,1.76386e-13,23.26789
7,8,142,53.109 Gbps,53.109 Gbps,6.379119e+12,0.00000e+00,1.56374e-13,23.02618
8,9,156,53.121 Gbps,53.109 Gbps,7.126416e+12,0.00000e+00,1.40040e-13,22.46778
9,10,170,53.121 Gbps,53.109 Gbps,7.851457e+12,0.00000e+00,1.27083e-13,22.53354
10,11,184,53.109 Gbps,53.121 Gbps,8.613903e+12,0.00000e+00,1.15847e-13,22.83720
11,12,199,53.109 Gbps,53.121 Gbps,9.391616e+12,0.00000e+00,1.06299e-13,22.53240
12,13,213,53.121 Gbps,53.109 Gbps,1.015564e+13,0.00000e+00,9.82972e-14,22.28574
13,14,229,53.109 Gbps,53.121 Gbps,1.098067e+13,0.00000e+00,9.09503e-14,22.13983
14,15,243,53.109 Gbps,53.109 Gbps,1.176383e+13,0.00000e+00,8.49082e-14,22.52083
15,16,258,53.109 Gbps,53.121 Gbps,1.254084e+13,0.00000e+00,7.96697e-14,22.13943
16,17,272,53.109 Gbps,53.121 Gbps,1.330335e+13,0.00000e+00,7.50562e-14,23.26669
17,18,287,53.109 Gbps,53.109 Gbps,1.409987e+13,0.00000e+00,7.08638e-14,22.96124
18,19,301,53.121 Gbps,53.109 Gbps,1.484198e+13,0.00000e+00,6.73297e-14,22.19060
19,20,316,53.109 Gbps,53.109 Gbps,1.563934e+13,0.00000e+00,6.38825e-14,22.47699
20,21,331,53.109 Gbps,53.109 Gbps,1.641712e+13,0.00000e+00,6.08644e-14,23.99213
21,22,345,53.109 Gbps,53.109 Gbps,1.718227e+13,0.00000e+00,5.81510e-14,23.03012
22,23,360,53.109 Gbps,53.121 Gbps,1.795814e+13,0.00000e+00,5.56472e-14,23.12017
23,24,375,53.109 Gbps,53.109 Gbps,1.876242e+13,0.00000e+00,5.32547e-14,23.37343
24,25,390,53.109 Gbps,53.109 Gbps,1.953160e+13,0.00000e+00,5.11500e-14,23.53066
25,26,404,53.121 Gbps,53.109 Gbps,2.030487e+13,0.00000e+00,4.92171e-14,22.27816
26,27,418,53.109 Gbps,53.109 Gbps,2.107030e+13,0.00000e+00,4.74299e-14,21.91825
27,28,433,53.121 Gbps,53.109 Gbps,2.184762e+13,0.00000e+00,4.57426e-14,22.18754
28,29,448,53.109 Gbps,53.109 Gbps,2.264467e+13,0.00000e+00,4.41327e-14,22.25739
29,30,463,53.109 Gbps,53.121 Gbps,2.344770e+13,0.00000e+00,4.26171e-14,23.25061
30,31,479,53.109 Gbps,53.121 Gbps,2.426603e+13,0.00000e+00,4.11871e-14,21.77390
31,32,494,53.109 Gbps,53.109 Gbps,2.508216e+13,0.00000e+00,3.98483e-14,23.15335
32,33,509,53.109 Gbps,53.121 Gbps,2.588834e+13,0.00000e+00,3.85953e-14,22.10957
33,34,525,53.109 Gbps,53.109 Gbps,2.671367e+13,0.00000e+00,3.74124e-14,22.11614
34,35,540,53.109 Gbps,53.109 Gbps,2.751757e+13,0.00000e+00,3.63214e-14,22.14972
35,36,555,53.109 Gbps,53.109 Gbps,2.832496e+13,0.00000e+00,3.52886e-14,23.59830
36,37,570,53.109 Gbps,53.109 Gbps,2.912424e+13,0.00000e+00,3.43223e-14,23.24531
37,38,585,53.109 Gbps,53.109 Gbps,2.992524e+13,0.00000e+00,3.33978e-14,22.84006
38,39,601,53.121 Gbps,53.121 Gbps,3.075562e+13,0.00000e+00,3.25008e-14,21.85406
39,40,616,53.121 Gbps,53.109 Gbps,3.154644e+13,0.00000e+00,3.16838e-14,22.84499
40,41,631,53.109 Gbps,53.109 Gbps,3.233710e+13,0.00000e+00,3.09119e-14,21.52268
41,42,646,53.109 Gbps,53.109 Gbps,3.315493e+13,0.00000e+00,3.01489e-14,22.40843
42,43,661,53.109 Gbps,53.109 Gbps,3.397571e+13,0.00000e+00,2.94197e-14,23.05857
43,44,677,53.109 Gbps,53.121 Gbps,3.479855e+13,0.00000e+00,2.87248e-14,22.83237
44,45,693,53.121 Gbps,53.109 Gbps,3.562976e+13,0.00000e+00,2.80539e-14,22.92488
45,46,708,53.109 Gbps,53.109 Gbps,3.645237e+13,0.00000e+00,2.74232e-14,22.58943
46,47,724,53.109 Gbps,53.109 Gbps,3.728493e+13,0.00000e+00,2.68072e-14,22.30212
47,48,739,53.109 Gbps,53.109 Gbps,3.810860e+13,0.00000e+00,2.62275e-14,22.18513
48,49,755,53.109 Gbps,53.109 Gbps,3.895155e+13,0.00000e+00,2.56649e-14,23.11926
49,50,771,53.109 Gbps,53.109 Gbps,3.978167e+13,0.00000e+00,2.51283e-14,21.87233
50,51,786,53.121 Gbps,53.121 Gbps,4.060637e+13,0.00000e+00,2.46184e-14,22.94543
51,52,802,53.121 Gbps,53.109 Gbps,4.144681e+13,0.00000e+00,2.41180e-14,23.35570
52,53,818,53.121 Gbps,53.109 Gbps,4.228924e+13,0.00000e+00,2.36386e-14,23.16489
53,54,834,53.121 Gbps,53.109 Gbps,4.311735e+13,0.00000e+00,2.31854e-14,23.05760
54,55,849,53.109 Gbps,53.109 Gbps,4.394703e+13,0.00000e+00,2.27487e-14,23.01123
55,56,865,53.121 Gbps,53.109 Gbps,4.478991e+13,0.00000e+00,2.23195e-14,23.17837
56,57,881,53.109 Gbps,53.121 Gbps,4.565899e+13,0.00000e+00,2.18934e-14,23.67577
57,58,898,53.121 Gbps,53.109 Gbps,4.655258e+13,0.00000e+00,2.14753e-14,23.18241
58,59,915,53.121 Gbps,53.109 Gbps,4.745328e+13,0.00000e+00,2.10688e-14,22.81963
59,60,932,53.121 Gbps,53.109 Gbps,4.836214e+13,0.00000e+00,2.06724e-14,23.62325
60,61,949,53.109 Gbps,53.109 Gbps,4.926600e+13,0.00000e+00,2.02912e-14,22.27102
61,62,967,53.109 Gbps,53.109 Gbps,5.020238e+13,0.00000e+00,1.99135e-14,22.27005
62,63,983,53.109 Gbps,53.109 Gbps,5.107715e+13,0.00000e+00,1.95728e-14,22.23308
63,64,1001,53.109 Gbps,53.121 Gbps,5.199406e+13,0.00000e+00,1.92274e-14,21.95454
64,65,1017,53.121 Gbps,53.109 Gbps,5.285454e+13,0.00000e+00,1.89134e-14,22.34827
65,66,1033,53.109 Gbps,53.109 Gbps,5.373853e+13,0.00000e+00,1.86043e-14,22.84820
66,67,1050,53.109 Gbps,53.109 Gbps,5.463509e+13,0.00000e+00,1.82979e-14,22.50036
67,68,1067,53.109 Gbps,53.121 Gbps,5.550783e+13,0.00000e+00,1.80115e-14,22.25886
68,69,1083,53.109 Gbps,53.109 Gbps,5.639105e+13,0.00000e+00,1.77298e-14,22.53332
69,70,1100,53.109 Gbps,53.121 Gbps,5.727843e+13,0.00000e+00,1.74532e-14,22.78508
70,71,1117,53.109 Gbps,53.109 Gbps,5.817308e+13,0.00000e+00,1.71861e-14,22.74567
71,72,1134,53.121 Gbps,53.109 Gbps,5.905093e+13,0.00000e+00,1.69310e-14,21.60216
72,73,1150,53.121 Gbps,53.121 Gbps,5.992127e+13,0.00000e+00,1.66845e-14,22.31525
73,74,1167,53.109 Gbps,53.109 Gbps,6.082526e+13,0.00000e+00,1.64368e-14,22.95529
74,75,1183,53.121 Gbps,53.109 Gbps,6.170231e+13,0.00000e+00,1.62032e-14,22.22244
75,76,1200,53.109 Gbps,53.121 Gbps,6.257016e+13,0.00000e+00,1.59783e-14,21.64127
76,77,1217,53.121 Gbps,53.121 Gbps,6.348313e+13,0.00000e+00,1.57486e-14,21.90522
77,78,1234,53.121 Gbps,53.109 Gbps,6.440555e+13,0.00000e+00,1.55238e-14,22.22066
78,79,1251,53.109 Gbps,53.109 Gbps,6.530035e+13,0.00000e+00,1.53108e-14,22.20691
79,80,1268,53.121 Gbps,53.109 Gbps,6.619654e+13,0.00000e+00,1.51024e-14,23.89080
80,81,1285,53.109 Gbps,53.109 Gbps,6.709332e+13,0.00000e+00,1.49023e-14,22.83650
81,82,1302,53.109 Gbps,53.109 Gbps,6.798995e+13,0.00000e+00,1.47047e-14,21.98648
82,83,1319,53.109 Gbps,53.121 Gbps,6.892198e+13,0.00000e+00,1.45053e-14,22.51052
83,84,1337,53.121 Gbps,53.109 Gbps,6.983781e+13,0.00000e+00,1.43154e-14,22.92706
84,85,1354,53.109 Gbps,53.109 Gbps,7.074956e+13,0.00000e+00,1.41313e-14,23.40968
85,86,1371,53.109 Gbps,53.109 Gbps,7.167748e+13,0.00000e+00,1.39477e-14,23.40357
86,87,1389,53.121 Gbps,53.121 Gbps,7.260341e+13,0.00000e+00,1.37710e-14,21.96876
