,Samples,Elapsed Time,Status,Line Rate,Bits Count,Errors Count,BER,SNR
0,1,25,53.109 Gbps,53.109 Gbps,6.234835e+11,0.00000e+00,1.58699e-12,0.00000
1,2,39,53.109 Gbps,53.109 Gbps,1.379714e+12,0.00000e+00,7.19540e-13,0.00000
2,3,67,53.109 Gbps,53.109 Gbps,2.839391e+12,0.00000e+00,3.50481e-13,24.19341
3,4,80,53.109 Gbps,53.121 Gbps,3.559468e+12,0.00000e+00,2.79890e-13,23.09756
4,5,94,53.109 Gbps,53.109 Gbps,4.297743e+12,0.00000e+00,2.31940e-13,23.69418
5,6,108,53.109 Gbps,53.109 Gbps,5.018977e+12,0.00000e+00,1.98673e-13,24.16681
6,7,121,53.109 Gbps,53.109 Gbps,5.739357e+12,0.00000e+00,1.73666e-13,23.96047
7,8,135,53.109 Gbps,53.109 Gbps,6.470605e+12,0.00000e+00,1.54245e-13,23.28000
8,9,149,53.121 Gbps,53.109 Gbps,7.204640e+12,0.00000e+00,1.38532e-13,23.49238
9,10,163,53.121 Gbps,53.109 Gbps,7.940185e+12,0.00000e+00,1.25752e-13,22.89197
10,11,177,53.109 Gbps,53.121 Gbps,8.678118e+12,0.00000e+00,1.15061e-13,22.22329
11,12,192,53.121 Gbps,53.109 Gbps,9.464822e+12,0.00000e+00,1.05481e-13,23.31706
12,13,206,53.109 Gbps,53.121 Gbps,1.022992e+13,0.00000e+00,9.76381e-14,23.00339
13,14,221,53.109 Gbps,53.121 Gbps,1.101042e+13,0.00000e+00,9.06935e-14,23.42016
14,15,236,53.109 Gbps,53.109 Gbps,1.183730e+13,0.00000e+00,8.43497e-14,23.51561
15,16,251,53.109 Gbps,53.121 Gbps,1.259931e+13,0.00000e+00,7.92612e-14,22.43491
16,17,265,53.109 Gbps,53.109 Gbps,1.338477e+13,0.00000e+00,7.46287e-14,23.59685
17,18,280,53.109 Gbps,53.109 Gbps,1.416281e+13,0.00000e+00,7.05252e-14,23.28198
18,19,295,53.109 Gbps,53.109 Gbps,1.493798e+13,0.00000e+00,6.68873e-14,23.52918
19,20,309,53.109 Gbps,53.109 Gbps,1.569838e+13,0.00000e+00,6.36389e-14,23.93160
20,21,324,53.109 Gbps,53.121 Gbps,1.650074e+13,0.00000e+00,6.05483e-14,23.35153
21,22,338,53.109 Gbps,53.109 Gbps,1.726047e+13,0.00000e+00,5.78822e-14,22.84266
22,23,353,53.109 Gbps,53.109 Gbps,1.802757e+13,0.00000e+00,5.54284e-14,22.25257
23,24,368,53.109 Gbps,53.109 Gbps,1.884204e+13,0.00000e+00,5.30368e-14,22.98931
24,25,383,53.121 Gbps,53.109 Gbps,1.960958e+13,0.00000e+00,5.09555e-14,22.87397
25,26,397,53.121 Gbps,53.121 Gbps,2.039224e+13,0.00000e+00,4.90023e-14,22.77806
26,27,412,53.109 Gbps,53.109 Gbps,2.116511e+13,0.00000e+00,4.72174e-14,23.90206
27,28,426,53.121 Gbps,53.109 Gbps,2.194086e+13,0.00000e+00,4.55471e-14,23.15563
28,29,441,53.121 Gbps,53.109 Gbps,2.272140e+13,0.00000e+00,4.39856e-14,22.03131
29,30,456,53.109 Gbps,53.121 Gbps,2.353054e+13,1.00000e+00,4.24758e-14,23.74650
30,31,471,53.109 Gbps,53.109 Gbps,2.434069e+13,1.00000e+00,4.10602e-14,23.49858
31,32,487,53.109 Gbps,53.109 Gbps,2.515241e+13,1.00000e+00,3.97385e-14,22.52843
32,33,502,53.109 Gbps,53.121 Gbps,2.596885e+13,1.00000e+00,3.84871e-14,22.51564
33,34,518,53.109 Gbps,53.109 Gbps,2.678931e+13,1.00000e+00,3.72997e-14,23.17976
34,35,533,53.109 Gbps,53.121 Gbps,2.758162e+13,1.00000e+00,3.62313e-14,24.37446
35,36,548,53.121 Gbps,53.121 Gbps,2.839687e+13,1.00000e+00,3.51992e-14,23.43978
36,37,563,53.109 Gbps,53.121 Gbps,2.920138e+13,1.00000e+00,3.42288e-14,24.86775
37,38,578,53.109 Gbps,53.109 Gbps,3.000650e+13,1.00000e+00,3.33119e-14,23.99702
38,39,594,53.109 Gbps,53.121 Gbps,3.083374e+13,1.00000e+00,3.24174e-14,23.15782
39,40,609,53.121 Gbps,53.121 Gbps,3.163520e+13,1.00000e+00,3.15928e-14,24.00534
